FECHA,TMAX,TMIN,NOMBRE
Mar-23,30.6,24.5,AEROPARQUE AERO
Mar-23,28.5,19.9,AZUL AERO
Mar-23,32.3,21.2,BAHIA BLANCA AERO
Mar-23,19.4,11.5,BARILOCHE AERO
Mar-23,-6,-13.7,BASE BELGRANO II
Mar-23,4,0.6,BASE CARLINI (EX JUBANY)
Mar-23,4,-0.9,BASE ESPERANZA
Mar-23,1.1,-3.7,BASE MARAMBIO
Mar-23,5.2,0.5,BASE ORCADAS
Mar-23,3.4,-1.8,BASE SAN MARTIN
Mar-23,27.8,18.6,BENITO JUAREZ AERO
Mar-23,26.6,19.8,BERNARDO DE IRIGOYEN AERO
Mar-23,30.8,21,BOLIVAR AERO
Mar-23,30.6,26.6,BUENOS AIRES OBSERVATORIO
Mar-23,,25.4,CAMPO DE MAYO AERO
Mar-23,37.4,21.4,CATAMARCA AERO
Mar-23,36,23,CERES AERO
Mar-23,35.5,22,CHAMICAL AERO
Mar-23,21,13.4,CHAPELCO AERO
Mar-23,33.5,19,CHEPES
Mar-23,,,CHILECITO AERO
Mar-23,31.2,14,CIPOLLETTI
Mar-23,24.3,10.7,COMODORO RIVADAVIA AERO
Mar-23,31.6,24.1,CONCORDIA AERO
Mar-23,33.5,18.9,CORDOBA AERO
Mar-23,34.2,20.5,CORDOBA OBSERVATORIO
Mar-23,30.7,20.2,CORONEL PRINGLES AERO
Mar-23,30.8,20.9,CORONEL SUAREZ AERO
Mar-23,33.6,23.6,CORRIENTES AERO
Mar-23,29,23.5,DOLORES AERO
Mar-23,23.7,11.2,EL BOLSON AERO
Mar-23,15.4,-2.5,EL CALAFATE AERO
Mar-23,30.8,24.2,EL PALOMAR AERO
Mar-23,32.5,18.2,ESCUELA DE AVIACION MILITAR AERO
Mar-23,21.1,,ESQUEL AERO
Mar-23,31.5,23.7,EZEIZA AERO
Mar-23,30.9,24.1,FORMOSA AERO
Mar-23,32.8,19.3,GENERAL PICO AERO
Mar-23,18.2,-1,GOBERNADOR GREGORES AERO
Mar-23,32.5,23.3,GUALEGUAYCHU AERO
Mar-23,28.6,22.2,IGUAZU AERO
Mar-23,33,23,ITUZAINGO
Mar-23,32,13.5,JACHAL
Mar-23,33.5,20.2,JUJUY AERO
Mar-23,30.9,17.8,JUJUY U N
Mar-23,34,21,JUNIN AERO
Mar-23,30.5,24.1,LA PLATA AERO
Mar-23,19,8.3,LA QUIACA OBSERVATORIO
Mar-23,36.2,20.1,LA RIOJA AERO
Mar-23,33.5,17.6,LABOULAYE AERO
Mar-23,29.5,22.2,LAS FLORES
Mar-23,33.4,23,LAS LOMITAS
Mar-23,28.4,10.2,MALARGUE AERO
Mar-23,24,12,MAQUINCHAO
Mar-23,24.4,21.3,MAR DEL PLATA AERO
Mar-23,35.4,19.2,MARCOS JUAREZ AERO
Mar-23,35,,MARIANO MORENO AERO
Mar-23,33.4,19.4,MENDOZA AERO
Mar-23,32,18.4,MENDOZA OBSERVATORIO
Mar-23,34.2,24,MERCEDES AERO (CTES)
Mar-23,,24.5,MERLO AERO
Mar-23,31.6,18.4,METAN
Mar-23,,22.6,MONTE CASEROS AERO
Mar-23,31.4,25.9,MORON AERO
Mar-23,31.2,13.3,NEUQUEN AERO
