FECHA,TMAX,TMIN,T_AVE,NOMBRE
3/15/2023,30.6,26.6,28.6,BUENOS AIRES OBSERVATORIO
3/14/2023,37,27.6,32.3,BUENOS AIRES OBSERVATORIO
3/13/2023,35,27,31,BUENOS AIRES OBSERVATORIO
3/12/2023,36.5,28,32.25,BUENOS AIRES OBSERVATORIO
3/11/2023,38.9,25.5,32.2,BUENOS AIRES OBSERVATORIO
3/10/2023,36.8,26,31.4,BUENOS AIRES OBSERVATORIO
3/9/2023,33.3,23.8,28.55,BUENOS AIRES OBSERVATORIO
3/8/2023,33.7,23.7,28.7,BUENOS AIRES OBSERVATORIO
3/7/2023,33,21.8,27.4,BUENOS AIRES OBSERVATORIO
3/6/2023,33.6,25.4,29.5,BUENOS AIRES OBSERVATORIO
3/5/2023,32.8,23.5,28.15,BUENOS AIRES OBSERVATORIO
3/4/2023,36.3,24.6,30.45,BUENOS AIRES OBSERVATORIO
3/3/2023,35.4,25.4,30.4,BUENOS AIRES OBSERVATORIO
3/2/2023,38,25.1,31.55,BUENOS AIRES OBSERVATORIO
3/1/2023,37.6,25.5,31.55,BUENOS AIRES OBSERVATORIO
2/28/2023,36.4,22.4,29.4,BUENOS AIRES OBSERVATORIO
2/27/2023,31,20.5,25.75,BUENOS AIRES OBSERVATORIO
2/26/2023,28,17.9,22.95,BUENOS AIRES OBSERVATORIO
2/25/2023,33.2,21.3,27.25,BUENOS AIRES OBSERVATORIO
2/24/2023,32.7,20.8,26.75,BUENOS AIRES OBSERVATORIO
2/23/2023,31,21.3,26.15,BUENOS AIRES OBSERVATORIO
2/22/2023,33.2,21.2,27.2,BUENOS AIRES OBSERVATORIO
2/21/2023,30.6,20.4,25.5,BUENOS AIRES OBSERVATORIO
2/20/2023,29,15.8,22.4,BUENOS AIRES OBSERVATORIO
2/19/2023,26.8,14.7,20.75,BUENOS AIRES OBSERVATORIO
2/18/2023,23.3,8.8,16.05,BUENOS AIRES OBSERVATORIO
2/17/2023,17.1,7.9,12.5,BUENOS AIRES OBSERVATORIO
2/16/2023,27.3,14,20.65,BUENOS AIRES OBSERVATORIO
2/15/2023,30.1,20,25.05,BUENOS AIRES OBSERVATORIO
2/14/2023,34,21.5,27.75,BUENOS AIRES OBSERVATORIO
2/13/2023,34.5,23.4,28.95,BUENOS AIRES OBSERVATORIO
2/12/2023,38.1,28.5,33.3,BUENOS AIRES OBSERVATORIO
2/11/2023,37.8,25.5,31.65,BUENOS AIRES OBSERVATORIO
2/10/2023,36.4,24.4,30.4,BUENOS AIRES OBSERVATORIO
2/9/2023,34.2,21.7,27.95,BUENOS AIRES OBSERVATORIO
2/8/2023,32.7,25.8,29.25,BUENOS AIRES OBSERVATORIO
2/7/2023,35.3,24,29.65,BUENOS AIRES OBSERVATORIO
2/6/2023,33.3,22,27.65,BUENOS AIRES OBSERVATORIO
2/5/2023,32,17.5,24.75,BUENOS AIRES OBSERVATORIO
2/4/2023,29.8,17.8,23.8,BUENOS AIRES OBSERVATORIO
2/3/2023,27.2,18.8,23,BUENOS AIRES OBSERVATORIO
2/2/2023,28,21.6,24.8,BUENOS AIRES OBSERVATORIO
2/1/2023,28.1,23.7,25.9,BUENOS AIRES OBSERVATORIO
1/31/2023,30.7,22,26.35,BUENOS AIRES OBSERVATORIO
1/30/2023,30,21.6,25.8,BUENOS AIRES OBSERVATORIO
1/29/2023,29.5,22.5,26,BUENOS AIRES OBSERVATORIO
1/28/2023,32.1,20.8,26.45,BUENOS AIRES OBSERVATORIO
1/27/2023,28.8,20.9,24.85,BUENOS AIRES OBSERVATORIO
1/26/2023,32.2,25,28.6,BUENOS AIRES OBSERVATORIO
1/25/2023,34.2,20.7,27.45,BUENOS AIRES OBSERVATORIO
1/24/2023,34.6,23,28.8,BUENOS AIRES OBSERVATORIO
1/23/2023,31.7,21,26.35,BUENOS AIRES OBSERVATORIO
1/22/2023,35.4,19.4,27.4,BUENOS AIRES OBSERVATORIO
1/21/2023,32.5,21.8,27.15,BUENOS AIRES OBSERVATORIO
1/20/2023,33,22,27.5,BUENOS AIRES OBSERVATORIO
1/19/2023,32.7,24,28.35,BUENOS AIRES OBSERVATORIO
1/18/2023,29.7,23.1,26.4,BUENOS AIRES OBSERVATORIO
1/17/2023,36,25.9,30.95,BUENOS AIRES OBSERVATORIO
1/16/2023,36.5,24.9,30.7,BUENOS AIRES OBSERVATORIO
1/15/2023,34.9,20.4,27.65,BUENOS AIRES OBSERVATORIO
1/14/2023,32.2,20.7,26.45,BUENOS AIRES OBSERVATORIO
1/13/2023,31.6,18.6,25.1,BUENOS AIRES OBSERVATORIO
1/12/2023,30.1,18,24.05,BUENOS AIRES OBSERVATORIO
1/11/2023,28,22.7,25.35,BUENOS AIRES OBSERVATORIO
1/10/2023,33.6,23,28.3,BUENOS AIRES OBSERVATORIO
1/9/2023,32.2,23.2,27.7,BUENOS AIRES OBSERVATORIO
1/8/2023,32.2,23.2,27.7,BUENOS AIRES OBSERVATORIO
1/7/2023,32.8,23.4,28.1,BUENOS AIRES OBSERVATORIO
1/6/2023,33.9,23.5,28.7,BUENOS AIRES OBSERVATORIO
1/5/2023,32.7,19.8,26.25,BUENOS AIRES OBSERVATORIO
1/4/2023,31.2,15.8,23.5,BUENOS AIRES OBSERVATORIO
1/3/2023,32.9,19.7,26.3,BUENOS AIRES OBSERVATORIO
1/2/2023,30.5,17.1,23.8,BUENOS AIRES OBSERVATORIO
1/1/2023,26.9,20.2,23.55,BUENOS AIRES OBSERVATORIO
12/31/2022,32,22.5,27.25,BUENOS AIRES OBSERVATORIO
12/30/2022,36.8,20.6,28.7,BUENOS AIRES OBSERVATORIO
12/29/2022,30.6,16.1,23.35,BUENOS AIRES OBSERVATORIO
12/28/2022,31,22.3,26.65,BUENOS AIRES OBSERVATORIO
12/27/2022,31.1,19.4,25.25,BUENOS AIRES OBSERVATORIO
12/26/2022,29.6,15.2,22.4,BUENOS AIRES OBSERVATORIO
12/25/2022,25.2,11.8,18.5,BUENOS AIRES OBSERVATORIO
12/24/2022,24.4,17.8,21.1,BUENOS AIRES OBSERVATORIO
12/23/2022,28.3,20.6,24.45,BUENOS AIRES OBSERVATORIO
12/22/2022,32.2,22.4,27.3,BUENOS AIRES OBSERVATORIO
12/21/2022,30.2,21.4,25.8,BUENOS AIRES OBSERVATORIO
