FECHA,TMAX,TMIN,TPROM,NOMBRE
3/15/2023,32.6,21.8,27.2,NUEVE DE JULIO
3/14/2023,31.8,22.9,27.35,NUEVE DE JULIO
3/13/2023,38.1,22.1,30.1,NUEVE DE JULIO
3/12/2023,39.6,23.6,31.6,NUEVE DE JULIO
3/11/2023,39.4,19.9,29.65,NUEVE DE JULIO
3/10/2023,35.7,19.2,27.45,NUEVE DE JULIO
3/9/2023,36,16.9,26.45,NUEVE DE JULIO
3/8/2023,32.6,15.8,24.2,NUEVE DE JULIO
3/7/2023,33.6,20.5,27.05,NUEVE DE JULIO
3/6/2023,37.9,21.6,29.75,NUEVE DE JULIO
3/5/2023,38.1,17.9,28,NUEVE DE JULIO
3/4/2023,32.5,22.3,27.4,NUEVE DE JULIO
3/3/2023,38.3,18.6,28.45,NUEVE DE JULIO
3/2/2023,40,21.4,30.7,NUEVE DE JULIO
3/1/2023,37.9,20.7,29.3,NUEVE DE JULIO
2/28/2023,38.5,17.8,28.15,NUEVE DE JULIO
2/27/2023,33,12.9,22.95,NUEVE DE JULIO
2/26/2023,30,12.9,21.45,NUEVE DE JULIO
2/25/2023,36,15.6,25.8,NUEVE DE JULIO
2/24/2023,34.5,18.1,26.3,NUEVE DE JULIO
2/23/2023,33.7,14.9,24.3,NUEVE DE JULIO
2/22/2023,35.5,16.3,25.9,NUEVE DE JULIO
2/21/2023,33.6,13.6,23.6,NUEVE DE JULIO
2/20/2023,31.1,10.5,20.8,NUEVE DE JULIO
2/19/2023,28.2,6.3,17.25,NUEVE DE JULIO
2/18/2023,25,3.9,14.45,NUEVE DE JULIO
2/17/2023,18.4,5.8,12.1,NUEVE DE JULIO
2/16/2023,26.2,13.3,19.75,NUEVE DE JULIO
2/15/2023,33.4,12.5,22.95,NUEVE DE JULIO
2/14/2023,30.4,15.8,23.1,NUEVE DE JULIO
2/13/2023,32.6,18.7,25.65,NUEVE DE JULIO
2/12/2023,38.8,21.7,30.25,NUEVE DE JULIO
2/11/2023,38.5,21.3,29.9,NUEVE DE JULIO
2/10/2023,37.1,20.3,28.7,NUEVE DE JULIO
2/9/2023,36.5,19.5,28,NUEVE DE JULIO
2/8/2023,33.3,22.3,27.8,NUEVE DE JULIO
2/7/2023,36,19,27.5,NUEVE DE JULIO
2/6/2023,34.5,17.3,25.9,NUEVE DE JULIO
2/5/2023,32,17.6,24.8,NUEVE DE JULIO
2/4/2023,30.8,15.6,23.2,NUEVE DE JULIO
2/3/2023,28.8,16.6,22.7,NUEVE DE JULIO
2/2/2023,27.4,19.4,23.4,NUEVE DE JULIO
2/1/2023,27,20.1,23.55,NUEVE DE JULIO
1/31/2023,32.1,17.9,25,NUEVE DE JULIO
1/30/2023,31.2,15.7,23.45,NUEVE DE JULIO
1/29/2023,31.6,19.9,25.75,NUEVE DE JULIO
1/28/2023,33,19.8,26.4,NUEVE DE JULIO
1/27/2023,29.4,17.9,23.65,NUEVE DE JULIO
1/26/2023,34.3,20.8,27.55,NUEVE DE JULIO
1/25/2023,32,15.3,23.65,NUEVE DE JULIO
1/24/2023,32.4,18.5,25.45,NUEVE DE JULIO
1/23/2023,33.8,18.2,26,NUEVE DE JULIO
1/22/2023,35.5,18.9,27.2,NUEVE DE JULIO
1/21/2023,33.1,17.8,25.45,NUEVE DE JULIO
1/20/2023,31.3,20.9,26.1,NUEVE DE JULIO
1/19/2023,37,19.2,28.1,NUEVE DE JULIO
1/18/2023,31,22.6,26.8,NUEVE DE JULIO
1/17/2023,38.2,20.8,29.5,NUEVE DE JULIO
1/16/2023,36.1,18.3,27.2,NUEVE DE JULIO
1/15/2023,36.6,17.7,27.15,NUEVE DE JULIO
1/14/2023,34.7,14.8,24.75,NUEVE DE JULIO
1/13/2023,31.2,15,23.1,NUEVE DE JULIO
1/12/2023,29.5,16.4,22.95,NUEVE DE JULIO
1/11/2023,29.8,20.4,25.1,NUEVE DE JULIO
1/10/2023,38,16.9,27.45,NUEVE DE JULIO
1/9/2023,36.5,17.6,27.05,NUEVE DE JULIO
1/8/2023,36.8,18.3,27.55,NUEVE DE JULIO
1/7/2023,37,20.1,28.55,NUEVE DE JULIO
