FECHA,TMAX,TMIN,TPROM,NOMBRE
Mar-22,23.81,11.57,17.69,NUEVE DE JULIO
Abr-22,22.93,9.5,16.22,NUEVE DE JULIO
May-22,17.84,5.83,11.84,NUEVE DE JULIO
Jun-22,15.1,2.96,9.03,NUEVE DE JULIO
Jul-22,16.36,4.95,10.66,NUEVE DE JULIO
Ago-2022,19.22,4.95,12.09,NUEVE DE JULIO
Set-2022,22.47,6.91,14.69,NUEVE DE JULIO
Oct-22,24.08,9.01,16.55,NUEVE DE JULIO
Nov-22,29.83,14.18,22,NUEVE DE JULIO
Dec-22,32.91,16.27,24.59,NUEVE DE JULIO
Ene-23,33.41,18.05,25.73,NUEVE DE JULIO
Feb-23,32.17,15.7,23.94,NUEVE DE JULIO
Mar-23,36.27,20.35,28.31,NUEVE DE JULIO
